transaction_id,store_id,customer_id,product_id,quantity,unit_price,transaction_date,source_file
T000045,S004,C087,P015,4,30000,2026-08-01 17:09:17,sales_2026_08_01.csv
T000046,S005,C061,P007,2,165000,2026-08-01 16:51:08,sales_2026_08_01.csv
T000047,S002,C085,P026,4,30000,2026-08-01 12:15:44,sales_2026_08_01.csv
T000048,S003,C066,P003,4,15000,2026-08-01 11:10:17,sales_2026_08_01.csv
T000049,S005,C043,P022,1,18000,2026-08-01 15:30:26,sales_2026_08_01.csv
T000050,S002,C087,P003,3,15000,2026-08-01 09:32:14,sales_2026_08_01.csv
T000051,S002,C026,P010,4,8000,2026-08-01 10:11:56,sales_2026_08_01.csv
T000052,S001,C006,P005,4,120000,2026-08-01 08:04:51,sales_2026_08_01.csv
T000053,S004,C079,P008,4,390000,2026-08-01 16:39:22,sales_2026_08_01.csv
T000054,S001,C059,P028,4,28000,2026-08-01 15:18:48,sales_2026_08_01.csv
T000055,S005,C025,P014,2,7000,2026-08-01 15:45:24,sales_2026_08_01.csv
T000056,S004,C064,P023,2,22000,2026-08-01 16:35:16,sales_2026_08_01.csv
T000057,S002,C019,P013,3,35000,2026-08-01 13:02:53,sales_2026_08_01.csv
T000058,S001,C097,P021,3,10000,2026-08-01 14:15:22,sales_2026_08_01.csv
T000059,S001,C100,P028,1,28000,2026-08-01 09:32:15,sales_2026_08_01.csv
T000060,S002,C023,P014,1,7000,2026-08-01 09:15:35,sales_2026_08_01.csv
T000061,S005,C060,P026,2,30000,2026-08-01 15:21:08,sales_2026_08_01.csv
T000062,S005,C032,P002,3,520000,2026-08-01 13:10:55,sales_2026_08_01.csv
T000063,S001,C059,P030,4,50000,2026-08-01 14:13:03,sales_2026_08_01.csv
T000064,S004,C086,P005,1,120000,2026-08-01 16:24:53,sales_2026_08_01.csv
T000065,S005,C077,P017,3,85000,2026-08-01 14:58:54,sales_2026_08_01.csv
T000066,S004,C079,P011,3,75000,2026-08-01 14:05:21,sales_2026_08_01.csv
T000067,S005,C055,P027,1,18000,2026-08-01 14:09:04,sales_2026_08_01.csv
T000068,S005,C058,P027,4,18000,2026-08-01 11:20:36,sales_2026_08_01.csv
T000069,S002,C096,P029,3,32000,2026-08-01 08:20:20,sales_2026_08_01.csv
T000070,S004,C058,P028,2,28000,2026-08-01 12:48:14,sales_2026_08_01.csv
T000071,S002,C082,P009,4,45000,2026-08-01 10:21:37,sales_2026_08_01.csv
T000072,S005,C063,P009,2,45000,2026-08-01 12:29:37,sales_2026_08_01.csv
T000073,S002,C036,P021,4,10000,2026-08-01 17:23:14,sales_2026_08_01.csv
T000074,S001,C092,P015,1,30000,2026-08-01 10:34:24,sales_2026_08_01.csv
T000075,S002,C035,P010,4,8000,2026-08-01 08:38:28,sales_2026_08_01.csv
T000076,S003,C070,P011,4,75000,2026-08-01 11:05:42,sales_2026_08_01.csv
T000077,S002,C020,P003,4,15000,2026-08-01 11:13:46,sales_2026_08_01.csv
T000078,S004,C089,P008,2,390000,2026-08-01 15:16:51,sales_2026_08_01.csv
T000079,S002,C009,P005,1,120000,2026-08-01 14:07:38,sales_2026_08_01.csv
T000080,S004,C043,P014,3,7000,2026-08-01 16:37:22,sales_2026_08_01.csv
T000081,S004,C054,P018,4,25000,2026-08-01 15:18:26,sales_2026_08_01.csv
T000082,S002,C054,P002,2,520000,2026-08-01 12:28:12,sales_2026_08_01.csv
T000083,S005,C090,P013,2,35000,2026-08-01 16:57:15,sales_2026_08_01.csv
T000084,S005,C049,P001,2,450000,2026-08-01 09:50:12,sales_2026_08_01.csv
T000085,S001,C046,P016,2,95000,2026-08-01 08:14:59,sales_2026_08_01.csv
T000086,S004,C054,P010,1,8000,2026-08-01 08:59:25,sales_2026_08_01.csv
T000087,S005,C078,P018,4,25000,2026-08-01 15:56:45,sales_2026_08_01.csv
T000088,S002,C063,P029,3,32000,2026-08-01 13:04:50,sales_2026_08_01.csv
T000089,S003,C056,P008,3,390000,2026-08-01 09:46:26,sales_2026_08_01.csv
T000090,S001,C050,P016,4,95000,2026-08-01 13:30:41,sales_2026_08_01.csv
T000091,S004,C093,P011,4,75000,2026-08-01 09:40:31,sales_2026_08_01.csv
T000092,S004,C017,P006,2,280000,2026-08-01 15:39:34,sales_2026_08_01.csv
T000093,S005,C004,P020,2,180000,2026-08-01 12:54:27,sales_2026_08_01.csv
T000094,S004,C076,P030,1,50000,2026-08-01 12:11:28,sales_2026_08_01.csv
T000095,S001,C011,P019,1,55000,2026-08-01 11:18:59,sales_2026_08_01.csv
T000096,S004,C018,P021,3,10000,2026-08-01 14:55:59,sales_2026_08_01.csv
T000097,S004,C024,P028,3,28000,2026-08-01 11:58:47,sales_2026_08_01.csv
T000098,S003,C049,P002,4,520000,2026-08-01 08:57:50,sales_2026_08_01.csv
T000099,S002,C059,P011,2,75000,2026-08-01 09:17:53,sales_2026_08_01.csv
T000100,S003,C098,P011,2,75000,2026-08-01 18:34:51,sales_2026_08_01.csv
T000101,S004,C036,P029,2,32000,2026-08-01 17:59:39,sales_2026_08_01.csv
T000102,S004,C033,P025,2,210000,2026-08-01 15:41:48,sales_2026_08_01.csv
T000103,S001,C061,P027,2,18000,2026-08-01 10:55:28,sales_2026_08_01.csv
T000104,S005,C007,P001,4,450000,2026-08-01 18:39:39,sales_2026_08_01.csv
T000105,S002,C084,P012,2,12000,2026-08-01 16:33:58,sales_2026_08_01.csv
T000106,S001,C097,P003,2,15000,2026-08-01 15:53:08,sales_2026_08_01.csv
T000107,S002,C026,P001,4,450000,2026-08-01 12:56:34,sales_2026_08_01.csv
T000108,S001,C080,P027,3,18000,2026-08-01 10:59:40,sales_2026_08_01.csv
T000109,S002,C017,P005,1,120000,2026-08-01 09:03:37,sales_2026_08_01.csv
T000110,S001,C073,P016,2,95000,2026-08-01 17:55:43,sales_2026_08_01.csv
T000111,S004,C090,P007,1,165000,2026-08-01 13:00:48,sales_2026_08_01.csv
T000112,S003,C022,P009,3,45000,2026-08-01 10:13:33,sales_2026_08_01.csv
T000113,S005,C096,P020,3,180000,2026-08-01 11:21:55,sales_2026_08_01.csv
T000114,S001,C100,P023,4,22000,2026-08-01 14:22:17,sales_2026_08_01.csv
T000115,S002,C040,P027,3,18000,2026-08-01 09:56:40,sales_2026_08_01.csv
T000116,S005,C004,P004,2,25000,2026-08-01 17:25:21,sales_2026_08_01.csv
T000117,S003,C074,P030,1,50000,2026-08-01 16:20:37,sales_2026_08_01.csv
T000118,S004,C051,P022,2,18000,2026-08-01 15:54:50,sales_2026_08_01.csv
T000119,S002,C010,P023,3,22000,2026-08-01 12:45:10,sales_2026_08_01.csv
T000120,S002,C014,P019,2,55000,2026-08-01 14:54:01,sales_2026_08_01.csv
T000121,S003,C088,P023,1,22000,2026-08-01 14:25:30,sales_2026_08_01.csv
T000122,S001,C073,P020,1,180000,2026-08-01 15:08:53,sales_2026_08_01.csv
T000123,S001,C045,P026,3,30000,2026-08-01 08:55:43,sales_2026_08_01.csv
T000124,S004,C085,P018,4,25000,2026-08-01 12:34:25,sales_2026_08_01.csv
T000125,S001,C065,P012,4,12000,2026-08-01 08:27:27,sales_2026_08_01.csv
T000126,S003,C002,P021,1,10000,2026-08-01 13:26:02,sales_2026_08_01.csv
T000127,S004,C063,P028,1,28000,2026-08-01 11:37:42,sales_2026_08_01.csv
T000128,S004,C047,P004,3,25000,2026-08-01 09:35:23,sales_2026_08_01.csv
T000129,S004,C091,P021,3,10000,2026-08-01 09:08:14,sales_2026_08_01.csv
T000130,S004,C023,P005,1,120000,2026-08-01 14:27:50,sales_2026_08_01.csv
T000131,S005,C084,P024,4,40000,2026-08-01 09:52:35,sales_2026_08_01.csv
T000132,S005,C069,P009,2,45000,2026-08-01 18:10:34,sales_2026_08_01.csv
T000133,S004,C060,P025,4,210000,2026-08-01 14:23:30,sales_2026_08_01.csv
T000134,S005,C035,P014,2,7000,2026-08-01 11:48:56,sales_2026_08_01.csv
T000135,S002,C012,P011,3,75000,2026-08-01 14:30:00,sales_2026_08_01.csv
T000136,S004,C032,P009,2,45000,2026-08-01 08:15:03,sales_2026_08_01.csv
T000137,S004,C073,P025,1,210000,2026-08-01 18:32:38,sales_2026_08_01.csv
T000138,S004,C044,P020,2,180000,2026-08-01 13:18:19,sales_2026_08_01.csv
T000139,S004,C042,P001,2,450000,2026-08-01 16:36:36,sales_2026_08_01.csv
T000140,S004,C028,P006,1,280000,2026-08-01 08:54:36,sales_2026_08_01.csv
T000141,S003,C044,P012,2,12000,2026-08-01 13:21:11,sales_2026_08_01.csv
T000142,S005,C090,P009,3,45000,2026-08-01 13:23:51,sales_2026_08_01.csv
T000143,S003,C072,P029,2,32000,2026-08-01 18:18:57,sales_2026_08_01.csv
T000144,S005,C025,P001,1,450000,2026-08-01 14:17:20,sales_2026_08_01.csv
T000145,S002,C093,P003,3,15000,2026-08-01 13:12:30,sales_2026_08_01.csv
T000146,S004,C072,P014,4,7000,2026-08-01 10:56:12,sales_2026_08_01.csv
T000147,S002,C089,P025,4,210000,2026-08-01 11:38:50,sales_2026_08_01.csv
T000148,S004,C058,P016,3,95000,2026-08-01 13:43:38,sales_2026_08_01.csv
T000149,S001,C012,P026,4,30000,2026-08-01 12:49:40,sales_2026_08_01.csv
T000150,S002,C052,P010,2,8000,2026-08-01 08:14:15,sales_2026_08_01.csv
T000151,S002,C040,P023,2,22000,2026-08-01 17:05:21,sales_2026_08_01.csv
T000152,S005,C048,P022,1,18000,2026-08-01 17:51:27,sales_2026_08_01.csv
T000153,S005,C068,P016,3,95000,2026-08-01 09:32:33,sales_2026_08_01.csv
T000154,S004,C096,P012,2,12000,2026-08-01 14:05:39,sales_2026_08_01.csv
T000155,S003,C046,P018,2,25000,2026-08-01 09:11:39,sales_2026_08_01.csv
T000156,S004,C035,P023,3,22000,2026-08-01 15:23:40,sales_2026_08_01.csv
T000157,S003,C030,P010,1,8000,2026-08-01 11:05:36,sales_2026_08_01.csv
T000158,S002,C041,P004,1,25000,2026-08-01 15:15:13,sales_2026_08_01.csv
T000159,S005,C098,P004,3,25000,2026-08-01 15:59:48,sales_2026_08_01.csv
T000160,S002,C025,P023,4,22000,2026-08-01 16:27:18,sales_2026_08_01.csv
T000161,S004,C036,P007,2,165000,2026-08-01 09:11:06,sales_2026_08_01.csv
T000162,S005,C098,P024,3,40000,2026-08-01 18:04:34,sales_2026_08_01.csv
T000163,S005,C037,P017,4,85000,2026-08-01 10:31:56,sales_2026_08_01.csv
T000164,S002,C038,P004,1,25000,2026-08-01 08:24:41,sales_2026_08_01.csv
T000165,S003,C023,P008,1,390000,2026-08-01 14:06:12,sales_2026_08_01.csv
T000166,S001,C091,P010,3,8000,2026-08-01 12:04:48,sales_2026_08_01.csv
T000167,S002,C036,P018,2,25000,2026-08-01 17:07:39,sales_2026_08_01.csv
T000168,S001,C071,P002,2,520000,2026-08-01 16:53:26,sales_2026_08_01.csv
T000169,S002,C082,P010,4,8000,2026-08-01 11:29:18,sales_2026_08_01.csv
T000170,S004,C014,P028,1,28000,2026-08-01 18:28:54,sales_2026_08_01.csv
T000171,S001,C074,P028,3,28000,2026-08-01 11:12:00,sales_2026_08_01.csv
T000172,S004,C062,P010,3,8000,2026-08-01 13:39:56,sales_2026_08_01.csv
T000173,S003,C024,P015,4,30000,2026-08-01 10:48:56,sales_2026_08_01.csv
T000174,S003,C062,P002,4,520000,2026-08-01 18:17:47,sales_2026_08_01.csv
T000175,S001,C052,P004,1,25000,2026-08-01 09:48:38,sales_2026_08_01.csv
T000176,S001,C074,P016,3,95000,2026-08-01 08:29:38,sales_2026_08_01.csv
T000177,S001,C020,P021,2,10000,2026-08-01 12:47:09,sales_2026_08_01.csv
T000178,S005,C039,P005,4,120000,2026-08-01 18:54:58,sales_2026_08_01.csv
T000179,S002,C016,P003,1,15000,2026-08-01 17:48:30,sales_2026_08_01.csv
T000180,S004,C078,P018,1,25000,2026-08-01 16:14:04,sales_2026_08_01.csv
T000181,S005,C029,P020,4,180000,2026-08-01 17:47:55,sales_2026_08_01.csv
T000182,S005,C049,P025,1,210000,2026-08-01 17:49:40,sales_2026_08_01.csv
T000183,S004,C039,P015,1,30000,2026-08-01 13:42:26,sales_2026_08_01.csv
T000184,S005,C055,P028,2,28000,2026-08-01 11:28:30,sales_2026_08_01.csv
T000185,S005,C080,P010,1,8000,2026-08-01 16:29:31,sales_2026_08_01.csv
T000186,S005,C095,P002,2,520000,2026-08-01 15:16:41,sales_2026_08_01.csv
T000187,S002,C081,P004,2,25000,2026-08-01 12:06:36,sales_2026_08_01.csv
T000188,S003,C085,P007,4,165000,2026-08-01 09:02:20,sales_2026_08_01.csv
T000189,S002,C031,P003,3,15000,2026-08-01 16:12:52,sales_2026_08_01.csv
T000190,S005,C010,P006,2,280000,2026-08-01 10:53:13,sales_2026_08_01.csv
T000191,S001,C053,P006,1,280000,2026-08-01 18:18:17,sales_2026_08_01.csv
T000192,S005,C061,P015,4,30000,2026-08-01 10:39:02,sales_2026_08_01.csv
T000193,S001,C030,P010,1,8000,2026-08-01 09:21:01,sales_2026_08_01.csv
T000194,S003,C090,P010,1,8000,2026-08-01 17:08:32,sales_2026_08_01.csv
T000195,S004,C010,P028,4,28000,2026-08-01 09:41:10,sales_2026_08_01.csv
T000196,S002,C034,P022,3,18000,2026-08-01 09:58:19,sales_2026_08_01.csv
T000197,S005,C085,P026,2,30000,2026-08-01 14:35:35,sales_2026_08_01.csv
T000198,S002,C055,P026,3,30000,2026-08-01 17:37:12,sales_2026_08_01.csv
T000199,S005,C029,P004,1,25000,2026-08-01 10:09:38,sales_2026_08_01.csv
T000200,S002,C035,P021,2,10000,2026-08-01 11:24:48,sales_2026_08_01.csv
T000201,S002,C010,P027,4,18000,2026-08-01 16:33:05,sales_2026_08_01.csv
T000202,S002,C040,P002,2,520000,2026-08-01 18:41:24,sales_2026_08_01.csv
T000203,S005,C037,P020,2,180000,2026-08-01 13:30:29,sales_2026_08_01.csv
T000204,S001,C060,P015,2,30000,2026-08-01 09:34:58,sales_2026_08_01.csv
T000205,S003,C090,P023,4,22000,2026-08-01 08:09:11,sales_2026_08_01.csv
T000206,S003,C065,P013,1,35000,2026-08-01 10:31:34,sales_2026_08_01.csv
T000207,S004,C057,P018,2,25000,2026-08-01 09:27:00,sales_2026_08_01.csv
T000208,S005,C006,P003,1,15000,2026-08-01 15:27:15,sales_2026_08_01.csv
T000209,S004,C095,P029,4,32000,2026-08-01 09:20:24,sales_2026_08_01.csv
T000210,S005,C033,P011,2,75000,2026-08-01 13:34:10,sales_2026_08_01.csv
T000211,S001,C030,P001,4,450000,2026-08-01 15:38:12,sales_2026_08_01.csv
T000212,S005,C076,P022,4,18000,2026-08-01 14:23:32,sales_2026_08_01.csv
T000213,S003,C074,P001,2,450000,2026-08-01 10:11:51,sales_2026_08_01.csv
T000214,S002,C061,P002,4,520000,2026-08-01 16:50:43,sales_2026_08_01.csv
T000215,S004,C036,P017,1,85000,2026-08-01 15:52:10,sales_2026_08_01.csv
T000216,S005,C056,P006,1,280000,2026-08-01 16:07:43,sales_2026_08_01.csv
T000217,S004,C012,P021,4,10000,2026-08-01 09:26:29,sales_2026_08_01.csv
T000218,S003,C053,P016,2,95000,2026-08-01 09:21:40,sales_2026_08_01.csv
T000219,S003,C086,P011,3,75000,2026-08-01 18:12:11,sales_2026_08_01.csv
T000220,S002,C043,P004,1,25000,2026-08-01 12:22:24,sales_2026_08_01.csv
T000221,S004,C037,P014,4,7000,2026-08-01 11:18:37,sales_2026_08_01.csv
T000222,S004,C098,P022,1,18000,2026-08-01 13:22:27,sales_2026_08_01.csv
T000223,S001,C059,P018,3,25000,2026-08-01 15:17:29,sales_2026_08_01.csv
T000224,S003,C033,P003,2,15000,2026-08-01 18:30:42,sales_2026_08_01.csv
T000225,S001,C099,P011,3,75000,2026-08-01 11:09:03,sales_2026_08_01.csv
T000226,S005,C001,P013,4,35000,2026-08-01 18:10:22,sales_2026_08_01.csv
T000227,S005,C060,P022,2,18000,2026-08-01 08:16:24,sales_2026_08_01.csv
T000228,S001,C025,P014,3,7000,2026-08-01 14:06:25,sales_2026_08_01.csv
T000229,S003,C080,P017,1,85000,2026-08-01 14:58:25,sales_2026_08_01.csv
T000230,S004,C081,P025,4,210000,2026-08-01 09:09:53,sales_2026_08_01.csv
T000231,S001,C027,P015,3,30000,2026-08-01 09:32:37,sales_2026_08_01.csv
T000232,S005,C017,P009,3,45000,2026-08-01 12:36:36,sales_2026_08_01.csv
T000233,S003,C057,P030,1,50000,2026-08-01 18:37:42,sales_2026_08_01.csv
T000234,S004,C016,P029,1,32000,2026-08-01 14:33:23,sales_2026_08_01.csv
T000235,S005,C031,P001,1,450000,2026-08-01 18:15:47,sales_2026_08_01.csv
T000236,S002,C040,P023,3,22000,2026-08-01 16:50:52,sales_2026_08_01.csv
T000237,S001,C071,P018,2,25000,2026-08-01 13:08:28,sales_2026_08_01.csv
T000238,S001,C029,P014,3,7000,2026-08-01 16:37:56,sales_2026_08_01.csv
T000239,S001,C060,P027,4,18000,2026-08-01 08:11:46,sales_2026_08_01.csv
T000240,S002,C064,P004,3,25000,2026-08-01 09:12:02,sales_2026_08_01.csv
T000241,S003,C066,P030,2,50000,2026-08-01 17:07:25,sales_2026_08_01.csv
T000242,S003,C054,P023,2,22000,2026-08-01 16:45:53,sales_2026_08_01.csv
T000243,S004,C061,P027,2,18000,2026-08-01 10:33:32,sales_2026_08_01.csv
T000244,S004,C071,P008,2,390000,2026-08-01 13:50:18,sales_2026_08_01.csv
T000245,S004,C025,P005,4,120000,2026-08-01 14:39:58,sales_2026_08_01.csv
T000246,S005,C066,P030,4,50000,2026-08-01 17:32:42,sales_2026_08_01.csv
T000247,S002,C009,P024,4,40000,2026-08-01 14:38:03,sales_2026_08_01.csv
T000248,S004,C044,P009,2,45000,2026-08-01 12:32:17,sales_2026_08_01.csv
T000249,S005,C035,P030,1,50000,2026-08-01 12:06:57,sales_2026_08_01.csv
T000250,S001,C037,P027,4,18000,2026-08-01 12:41:04,sales_2026_08_01.csv
T000251,S003,C076,P024,1,40000,2026-08-01 15:10:16,sales_2026_08_01.csv
T000252,S004,C020,P019,4,55000,2026-08-01 17:32:32,sales_2026_08_01.csv
T000253,S005,C062,P015,2,30000,2026-08-01 12:59:34,sales_2026_08_01.csv
T000254,S003,C071,P012,3,12000,2026-08-01 10:43:34,sales_2026_08_01.csv
T000255,S005,C049,P025,2,210000,2026-08-01 10:36:11,sales_2026_08_01.csv
T000256,S003,C025,P015,4,30000,2026-08-01 16:12:22,sales_2026_08_01.csv
T000257,S002,C074,P023,4,22000,2026-08-01 16:58:56,sales_2026_08_01.csv
T000258,S002,C100,P013,4,35000,2026-08-01 09:09:29,sales_2026_08_01.csv
T000259,S001,C041,P014,4,7000,2026-08-01 08:43:55,sales_2026_08_01.csv
T000260,S004,C091,P024,2,40000,2026-08-01 14:32:19,sales_2026_08_01.csv
T000261,S004,C050,P030,2,50000,2026-08-01 09:36:28,sales_2026_08_01.csv
T000262,S002,C064,P022,1,18000,2026-08-01 17:04:16,sales_2026_08_01.csv
T000263,S002,C065,P002,2,520000,2026-08-01 11:24:49,sales_2026_08_01.csv
T000264,S003,C013,P019,4,55000,2026-08-01 09:34:57,sales_2026_08_01.csv
T000265,S004,C013,P028,4,28000,2026-08-01 18:07:50,sales_2026_08_01.csv
T000266,S004,C002,P017,3,85000,2026-08-01 09:49:15,sales_2026_08_01.csv
T000267,S002,C053,P024,1,40000,2026-08-01 11:07:54,sales_2026_08_01.csv
T000268,S002,C010,P028,3,28000,2026-08-01 09:41:23,sales_2026_08_01.csv
T000269,S003,C044,P016,2,95000,2026-08-01 09:16:13,sales_2026_08_01.csv
T000270,S004,C084,P020,3,180000,2026-08-01 08:13:57,sales_2026_08_01.csv
T000271,S003,C087,P003,3,15000,2026-08-01 08:36:33,sales_2026_08_01.csv
T000272,S005,C049,P028,1,28000,2026-08-01 09:55:15,sales_2026_08_01.csv
T000273,S004,C070,P011,4,75000,2026-08-01 08:35:13,sales_2026_08_01.csv
T000274,S005,C009,P002,2,520000,2026-08-01 14:30:09,sales_2026_08_01.csv
T000275,S003,C030,P008,3,390000,2026-08-01 15:29:16,sales_2026_08_01.csv
T000276,S001,C056,P024,4,40000,2026-08-01 12:19:47,sales_2026_08_01.csv
T000277,S001,C057,P004,4,25000,2026-08-01 11:29:52,sales_2026_08_01.csv
T000278,S003,C004,P006,4,280000,2026-08-01 13:32:59,sales_2026_08_01.csv
T000279,S003,C008,P002,3,520000,2026-08-01 17:37:30,sales_2026_08_01.csv
T000280,S003,C048,P010,4,8000,2026-08-01 17:21:44,sales_2026_08_01.csv
T000281,S002,C032,P014,3,7000,2026-08-01 08:28:41,sales_2026_08_01.csv
T000282,S004,C073,P017,2,85000,2026-08-01 09:59:47,sales_2026_08_01.csv
T000283,S002,C022,P022,4,18000,2026-08-01 10:36:15,sales_2026_08_01.csv
T000284,S001,C079,P006,1,280000,2026-08-01 10:44:35,sales_2026_08_01.csv
T000285,S004,C080,P028,3,28000,2026-08-01 14:17:00,sales_2026_08_01.csv
T000286,S002,C064,P022,4,18000,2026-08-01 12:34:43,sales_2026_08_01.csv
T000287,S005,C019,P030,2,50000,2026-08-01 08:32:30,sales_2026_08_01.csv
T000288,S004,C082,P008,1,390000,2026-08-01 12:06:35,sales_2026_08_01.csv
T000289,S004,C033,P009,4,45000,2026-08-01 13:45:40,sales_2026_08_01.csv
T000290,S001,C060,P022,4,18000,2026-08-01 09:07:06,sales_2026_08_01.csv
T000291,S003,C087,P029,1,32000,2026-08-01 17:10:04,sales_2026_08_01.csv
T000292,S002,C010,P018,1,25000,2026-08-01 08:34:17,sales_2026_08_01.csv
T000293,S003,C076,P015,2,30000,2026-08-01 18:10:23,sales_2026_08_01.csv
T000294,S004,C089,P010,3,8000,2026-08-01 09:05:24,sales_2026_08_01.csv
T000295,S004,C039,P009,4,45000,2026-08-01 17:16:45,sales_2026_08_01.csv
T000296,S004,C062,P007,4,165000,2026-08-01 17:55:45,sales_2026_08_01.csv
T000297,S002,C049,P004,1,25000,2026-08-01 18:46:30,sales_2026_08_01.csv
T000298,S003,C074,P019,2,55000,2026-08-01 16:49:20,sales_2026_08_01.csv
T000299,S003,C003,P010,3,8000,2026-08-01 16:34:27,sales_2026_08_01.csv
T000300,S004,C036,P027,3,18000,2026-08-01 15:04:02,sales_2026_08_01.csv
T000301,S005,C088,P001,3,450000,2026-08-01 16:34:08,sales_2026_08_01.csv
T000302,S001,C078,P025,3,210000,2026-08-01 09:28:48,sales_2026_08_01.csv
T000303,S004,C037,P024,4,40000,2026-08-01 13:53:48,sales_2026_08_01.csv
T000304,S002,C078,P025,2,210000,2026-08-01 13:39:23,sales_2026_08_01.csv
T000305,S003,C029,P026,4,30000,2026-08-01 17:25:59,sales_2026_08_01.csv
T000306,S002,C080,P021,4,10000,2026-08-01 13:05:26,sales_2026_08_01.csv
T000307,S002,C081,P009,4,45000,2026-08-01 12:14:09,sales_2026_08_01.csv
T000308,S001,C040,P004,3,25000,2026-08-01 15:02:06,sales_2026_08_01.csv
T000309,S004,C005,P026,1,30000,2026-08-01 10:55:51,sales_2026_08_01.csv
T000310,S003,C094,P019,1,55000,2026-08-01 09:32:14,sales_2026_08_01.csv
T000311,S001,C038,P005,2,120000,2026-08-01 13:15:23,sales_2026_08_01.csv
T000312,S004,C023,P011,1,75000,2026-08-01 12:35:08,sales_2026_08_01.csv
T000313,S002,C070,P007,3,165000,2026-08-01 10:33:29,sales_2026_08_01.csv
T000314,S003,C068,P029,2,32000,2026-08-01 12:02:33,sales_2026_08_01.csv
T000315,S003,C022,P017,3,85000,2026-08-01 12:01:49,sales_2026_08_01.csv
T000316,S004,C038,P009,3,45000,2026-08-01 11:36:08,sales_2026_08_01.csv
